Start_Date_time,Stop_Date_time,Closest_Date_time,Lrb,Lfb,MLTrb,MLTfb,distmin,dLmin,dMLTmin,EMFb,B1b,B2b,SpecETot_lb,SpecEMax_lb,SpecEMed_lb,SpecEAvg_lb,SpecETot_ub,SpecEMax_ub,SpecEMed_ub,SpecEAvg_ub,SpecBTot_lb,SpecBMax_lb,SpecBMed_lb,SpecBAvg_lb,SpecBTot_ub,SpecBMax_ub,SpecBMed_ub,SpecBAvg_ub
2016-08-28T23:17:02,2016-08-28T23:18:03,2016-08-28T23:17:31,5.55,5.44,2.11,1.74,0.54,0.11,0.37,1105.0,0.0,0.0,0.00129,1.56e-06,2.66e-08,7.72e-08,0.000925,1.6e-06,2.38e-09,1.28e-07,2.24e-05,2.47e-08,3.43e-10,1.33e-09,1.16e-06,2.57e-10,1.59e-10,1.6e-10
2016-08-30T01:40:08,2016-08-30T01:41:07,2016-08-30T01:40:53,5.41,5.38,1.69,1.72,0.06,0.04,0.03,449.0,3303.0,0.0,2.01,0.0886,1.2e-07,0.00012,0.0046,0.000233,6.73e-09,6.36e-07,0.00227,5.74e-05,2.59e-10,1.35e-07,1.41e-06,3.06e-08,1.61e-10,1.95e-10
2016-08-30T03:13:47,2016-08-30T03:14:36,2016-08-30T03:14:21,6.03,6.04,2.83,2.01,1.29,-0.01,0.82,452.0,5355.0,0.0,2.16,0.0632,1.11e-07,0.000129,0.00281,6.54e-05,1.16e-08,3.9e-07,0.00211,6.97e-05,3.36e-10,1.26e-07,1.21e-06,2.26e-09,1.65e-10,1.67e-10
2016-08-30T19:43:47,2016-08-30T19:44:22,2016-08-30T19:43:51,5.39,5.23,1.76,1.09,0.95,0.16,0.67,309.0,0.0,16.0,4.89,0.0535,1.39e-05,0.000292,3.43,0.044,5.55e-06,0.000475,0.00926,0.000247,3.63e-10,5.53e-07,0.00365,6.1e-05,6.87e-10,5.06e-07
2016-12-24T15:12:07,2016-12-24T15:14:46,2016-12-24T15:13:38,3.52,3.4,1.81,1.48,0.31,0.12,0.3,152.0,0.0,7.0,2.35,0.193,1.19e-07,0.000183,0.0148,0.0089,1.32e-09,4.34e-06,2.5e-05,5.1e-07,2.06e-10,1.95e-09,1.27e-06,5.11e-07,1.53e-10,3.72e-10
2017-01-02T13:19:37,2017-01-02T13:21:03,2017-01-02T13:20:35,4.49,4.65,0.42,1.11,0.82,-0.16,0.69,372.0,0.0,190.0,1.82,0.0769,5.19e-08,0.000109,0.00678,0.000872,3.78e-09,1.13e-06,1.92e-05,1.38e-06,1.8e-10,1.15e-09,1.01e-06,1.18e-08,1.57e-10,1.68e-10
2017-05-02T03:16:37,2017-05-02T03:17:31,2017-05-02T03:17:08,5.71,5.73,17.41,17.16,0.36,-0.02,0.24,0.0,1012.0,0.0,0.00488,1.25e-05,3.34e-08,2.91e-07,0.00122,3.41e-06,9.08e-10,1.69e-07,7.65e-05,3.78e-07,3.14e-10,4.56e-09,1.17e-06,2.7e-10,1.61e-10,1.62e-10
2017-07-01T07:33:02,2017-07-01T07:34:15,2017-07-01T07:33:49,4.8,4.86,17.22,17.6,0.49,-0.06,0.38,240.0,0.0,0.0,0.00267,3.12e-06,5.17e-09,1.59e-07,8.34e-06,3.53e-08,6.88e-10,1.26e-09,5.88e-06,8.33e-08,1.91e-10,3.51e-10,1.02e-06,2.38e-10,1.53e-10,1.55e-10
2017-07-02T10:28:56,2017-07-02T10:30:22,2017-07-02T10:29:42,4.77,4.7,17.1,16.87,0.29,0.07,0.23,300.0,0.0,0.0,0.00915,2.83e-05,6.07e-08,5.46e-07,0.000204,2.9e-06,8.93e-10,3.13e-08,5.29e-05,5.48e-07,2.55e-10,3.15e-09,1.03e-06,5.03e-10,1.55e-10,1.58e-10
2017-07-02T15:19:56,2017-07-02T15:21:52,2017-07-02T15:21:09,5.1,5.76,14.0,14.34,0.84,-0.67,0.4,360.0,0.0,19.0,0.00858,4.66e-05,8.76e-08,5.11e-07,0.0159,0.00211,1.69e-09,2.21e-06,9.1e-06,1.02e-08,2.2e-10,5.42e-10,2.96e-06,2.48e-07,1.6e-10,4.09e-10
2017-07-04T06:52:18,2017-07-04T06:53:31,2017-07-04T06:53:02,5.07,4.92,16.86,17.77,1.2,0.16,0.91,296.0,0.0,0.0,0.0047,8.37e-06,5.19e-09,2.8e-07,1.53e-05,4.16e-08,7.72e-10,2.13e-09,6.74e-06,6.61e-08,1.87e-10,4.02e-10,1.12e-06,5.83e-10,1.54e-10,1.57e-10
2017-07-06T12:45:07,2017-07-06T12:47:15,2017-07-06T12:46:04,4.9,4.63,16.7,16.19,0.71,0.28,0.52,272.0,0.0,0.0,0.0116,1.44e-05,5.69e-08,6.92e-07,8.61e-06,4.43e-08,6.88e-10,1.24e-09,0.000154,3.39e-07,1.89e-10,9.2e-09,1.08e-06,2.38e-10,1.53e-10,1.55e-10
2017-07-06T20:47:42,2017-07-06T20:48:41,2017-07-06T20:48:01,5.57,4.97,16.46,15.78,1.13,0.59,0.69,307.0,0.0,0.0,0.0208,1.71e-05,1.67e-07,1.24e-06,0.000579,2.13e-06,8.54e-10,8.01e-08,0.000511,4.19e-07,1.07e-09,3.05e-08,1.19e-06,3.06e-10,1.64e-10,1.65e-10
2017-07-09T12:03:37,2017-07-09T12:05:15,2017-07-09T12:04:40,5.19,5.18,16.3,16.35,0.08,0.01,0.08,288.0,5236.0,0.0,0.00406,2.73e-06,7.1e-08,2.42e-07,0.000726,2.6e-06,8.75e-10,1e-07,3.29e-05,7.44e-08,4.74e-10,1.97e-09,1.15e-06,2.52e-10,1.57e-10,1.59e-10
2017-07-09T16:55:47,2017-07-09T16:56:36,2017-07-09T16:56:34,4.65,5.61,13.41,13.93,1.19,-0.95,0.52,140.0,0.0,11.0,0.02,5.75e-05,3.83e-08,1.19e-06,0.000122,8.71e-05,7.43e-10,1.86e-08,0.000121,5.21e-07,2.27e-10,7.24e-09,1.84e-06,6.58e-07,1.51e-10,2.8e-10
2017-07-09T18:31:03,2017-07-09T18:32:56,2017-07-09T18:31:52,5.7,5.28,14.89,14.57,0.62,0.42,0.32,250.0,4.0,0.0,0.179,0.0011,3.29e-06,1.07e-05,0.0018,8.71e-05,1.06e-09,2.49e-07,0.00184,5.12e-06,1.73e-08,1.1e-07,2.07e-06,6.58e-07,1.65e-10,2.86e-10
2017-07-09T20:06:28,2017-07-09T20:07:22,2017-07-09T20:06:43,5.69,5.0,16.09,15.42,1.16,0.69,0.67,272.0,5046.0,0.0,0.0751,0.000241,1.01e-06,4.48e-06,0.00283,2.99e-06,1.15e-09,3.92e-07,0.00105,5.01e-06,8.74e-09,6.23e-08,1.22e-06,4.66e-10,1.67e-10,1.69e-10
2017-07-11T09:58:37,2017-07-11T10:00:34,2017-07-11T09:59:57,3.85,3.74,17.62,17.23,0.4,0.11,0.4,1200.0,2768.0,0.0,0.0053,2.1e-05,1.83e-08,3.72e-07,3.8e-06,2.17e-08,6.61e-10,9.43e-10,5.4e-05,6.65e-07,1.92e-10,3.79e-09,6.09e-07,3.89e-10,1.5e-10,1.51e-10
2017-07-11T14:50:25,2017-07-11T14:52:28,2017-07-11T14:51:48,5.51,6.06,14.17,14.46,0.69,-0.55,0.29,228.0,0.0,0.0,0.00727,6.1e-06,1.1e-07,4.33e-07,0.000578,4.81e-06,2.5e-09,8e-08,9.46e-06,2.43e-08,3.21e-10,5.64e-10,1.64e-06,1.72e-08,1.7e-10,2.27e-10
2017-07-11T16:26:47,2017-07-11T16:27:41,2017-07-11T16:26:51,5.73,4.79,15.44,14.91,1.19,0.94,0.53,276.0,0.0,0.0,0.0224,8.14e-05,1.19e-07,1.34e-06,0.00182,3.49e-06,1.03e-09,2.52e-07,0.000481,2.88e-06,4.01e-10,2.87e-08,1.26e-06,2.24e-09,1.67e-10,1.75e-10
2017-07-12T19:25:13,2017-07-12T19:26:02,2017-07-12T19:25:25,5.78,4.94,15.72,15.08,1.25,0.84,0.7,360.0,0.0,0.0,0.0508,0.000223,5.23e-07,3.02e-06,0.00251,3.17e-06,8.87e-10,3.48e-07,0.00111,3.77e-06,1.05e-09,6.64e-08,1.19e-06,8.35e-10,1.64e-10,1.65e-10
2017-07-16T23:13:33,2017-07-16T23:14:36,2017-07-16T23:14:25,5.11,5.24,16.64,16.93,0.42,-0.13,0.3,474.0,0.0,0.0,0.0451,0.000185,2.4e-07,2.69e-06,0.0011,3.17e-06,9.11e-10,1.53e-07,0.000611,5.65e-06,5.73e-10,3.64e-08,1.16e-06,2.46e-10,1.59e-10,1.61e-10
2017-07-17T15:01:35,2017-07-17T15:04:02,2017-07-17T15:03:19,5.76,6.05,14.67,14.89,0.44,-0.29,0.22,571.0,6581.0,0.0,0.162,0.000472,1.66e-06,9.68e-06,0.00397,3.41e-06,7.94e-09,5.5e-07,0.00082,1.64e-06,6.7e-09,4.89e-08,1.27e-06,9.69e-10,1.68e-10,1.76e-10
2017-07-21T17:19:31,2017-07-21T17:21:34,2017-07-21T17:20:30,5.79,5.24,14.59,14.34,0.64,0.55,0.25,480.0,0.0,59.0,0.325,0.00809,2.15e-06,1.94e-05,0.0291,0.00108,2.33e-08,4.04e-06,0.00115,2.25e-05,7.77e-09,6.88e-08,7.03e-05,3.03e-06,1.91e-10,9.74e-09
2017-07-21T18:55:18,2017-07-21T18:56:02,2017-07-21T18:55:26,5.58,4.56,15.83,15.13,1.36,1.01,0.7,508.0,0.0,7.0,0.198,0.00303,3.3e-06,1.18e-05,0.0136,0.000411,1.24e-08,1.88e-06,0.000928,1.08e-05,1.76e-08,5.53e-08,2.31e-05,7.18e-07,1.81e-10,3.2e-09
2017-07-22T20:16:56,2017-07-22T20:18:22,2017-07-22T20:18:09,5.84,5.98,14.79,15.0,0.36,-0.14,0.21,456.0,0.0,39.0,0.252,0.00349,8.77e-07,1.5e-05,0.0253,0.00156,2.39e-08,3.51e-06,0.0008,3.02e-05,2.89e-09,4.77e-08,7.35e-06,3.31e-07,1.76e-10,1.02e-09
2017-07-22T21:51:28,2017-07-22T21:52:41,2017-07-22T21:52:31,5.55,5.7,15.92,16.07,0.28,-0.15,0.16,564.0,0.0,47.0,0.375,0.0063,5.41e-07,2.23e-05,0.0217,0.00411,4.23e-09,3.01e-06,0.00113,3.02e-05,1.77e-09,6.71e-08,5.03e-06,2.41e-07,1.71e-10,6.97e-10
2017-11-21T07:55:08,2017-11-21T07:56:56,2017-11-21T07:56:15,4.16,4.2,8.47,8.47,0.04,-0.04,0.0,308.0,238.0,75.0,0.292,0.0378,1.07e-07,1.81e-05,0.259,0.0175,1.4e-06,4.91e-05,0.000171,4.48e-05,2.68e-10,1.06e-08,0.000133,4.34e-05,6.2e-10,2.52e-08
2017-11-21T20:00:57,2017-11-21T20:03:02,2017-11-21T20:02:16,6.06,5.94,10.62,10.67,0.15,0.12,0.06,1889.0,7124.0,79.0,4.97,0.0815,3.83e-05,0.000296,0.0218,0.00211,2.66e-07,3.02e-06,0.01,0.000267,4.03e-08,5.97e-07,1.56e-05,2.63e-06,2.15e-10,2.17e-09
