Start_Date_time,Stop_Date_time,Closest_Date_time,Lrb,Lfb,MLTrb,MLTfb,distmin,dLmin,dMLTmin,EMFb,B1b,B2b,SpecETot_lb,SpecEMax_lb,SpecEMed_lb,SpecEAvg_lb,SpecETot_ub,SpecEMax_ub,SpecEMed_ub,SpecEAvg_ub,SpecBTot_lb,SpecBMax_lb,SpecBMed_lb,SpecBAvg_lb,SpecBTot_ub,SpecBMax_ub,SpecBMed_ub,SpecBAvg_ub
2015-06-11T19:29:23,2015-06-11T19:30:12,2015-06-11T19:29:43,5.85,5.75,19.09,19.97,1.33,0.1,0.88,758.0,0.0,0.0,0.000613,2.81e-06,1.35e-08,3.65e-08,1.18e-05,7.76e-09,6.35e-10,1.63e-09,5.37e-06,2.03e-08,1.38e-10,3.2e-10,5.87e-07,1.33e-10,8.07e-11,8.14e-11
2015-06-12T13:01:56,2015-06-12T13:03:03,2015-06-12T13:02:34,5.9,6.01,18.18,18.46,0.44,-0.11,0.28,1356.0,0.0,0.0,0.0181,4.59e-05,1.04e-07,1.08e-06,1.48e-05,5.95e-08,6.41e-10,2.05e-09,0.000101,2.66e-07,6.1e-10,6.04e-09,5.87e-07,2.54e-10,8.02e-11,8.11e-11
2015-06-12T22:32:28,2015-06-12T22:33:17,2015-06-12T22:32:46,6.0,5.93,19.07,19.43,0.56,0.07,0.36,1212.0,0.0,0.0,0.000382,1.48e-06,1.59e-08,2.28e-08,1.47e-05,1.05e-08,6.06e-10,2.05e-09,3.67e-06,5.04e-09,1.63e-10,2.18e-10,5.89e-07,1.39e-10,8.11e-11,8.18e-11
2015-07-04T20:12:52,2015-07-04T20:13:36,2015-07-04T20:13:08,5.1,5.09,19.76,20.18,0.57,0.01,0.43,506.0,0.0,19.0,0.111,0.00354,1.24e-09,6.63e-06,1.82e-05,3e-06,6.41e-10,2.52e-09,0.00203,5.4e-05,1.04e-10,1.21e-07,5.61e-07,1.71e-10,7.67e-11,7.77e-11
2015-12-14T17:23:44,2015-12-14T17:25:15,2015-12-14T17:24:34,4.8,4.68,9.94,10.57,0.78,0.13,0.62,212.0,0.0,15.0,0.531,0.00232,6.21e-06,3.17e-05,0.00276,0.000252,1.12e-08,3.95e-07,0.00833,6.16e-05,1.78e-08,4.97e-07,1.33e-05,7.89e-07,1.04e-10,1.9e-09
2015-12-15T04:26:56,2015-12-15T04:28:22,2015-12-15T04:27:33,5.88,5.77,11.64,11.81,0.28,0.11,0.17,295.0,0.0,206.0,3.37,0.0602,2.15e-06,0.000201,0.125,0.0124,1.9e-08,1.74e-05,0.018,0.00031,7.02e-09,1.07e-06,0.000113,3.76e-06,9.82e-11,1.57e-08
2016-01-20T19:46:47,2016-01-20T19:47:51,2016-01-20T19:47:18,5.72,5.78,10.74,10.41,0.5,-0.06,0.33,250.0,0.0,0.0,0.944,0.0341,1.06e-07,5.64e-05,0.188,0.0021,3.24e-08,2.61e-05,0.00664,0.000272,6.89e-10,3.97e-07,0.000561,7.46e-06,9.85e-11,7.79e-08
2016-01-21T22:46:23,2016-01-21T22:47:17,2016-01-21T22:46:50,5.87,5.79,10.52,10.29,0.35,0.08,0.23,924.0,0.0,146.0,7.9,0.135,1.24e-06,0.000471,0.0399,0.0115,7.06e-09,5.53e-06,0.0189,0.000389,2.3e-09,1.13e-06,5.68e-06,5.27e-07,8.71e-11,7.88e-10
2016-01-27T07:31:50,2016-01-27T07:33:46,2016-01-27T07:32:49,4.79,4.62,12.27,12.68,0.53,0.17,0.41,267.0,0.0,0.0,0.072,0.000126,3.88e-08,4.29e-06,5.14e-06,3.85e-09,6.1e-10,7.38e-10,0.000399,7.69e-07,2.09e-10,2.38e-08,5.27e-07,1.2e-10,7.47e-11,7.57e-11
2016-08-14T01:32:56,2016-08-14T01:34:03,2016-08-14T01:33:44,5.52,5.49,2.01,1.5,0.74,0.03,0.51,576.0,2796.0,87.0,1.99,0.0896,5.63e-08,0.000119,0.453,0.025,4.2e-09,6.27e-05,6.45e-05,8.07e-06,1.47e-10,3.84e-09,0.000104,7.1e-06,8.03e-11,1.43e-08
2016-08-17T00:59:44,2016-08-17T01:01:03,2016-08-17T01:00:43,4.79,4.75,1.07,1.51,0.54,0.04,0.43,307.0,0.0,11.0,2.45,0.0682,9.04e-09,0.000146,0.229,0.0128,1.52e-09,3.27e-05,6.21e-06,1.6e-07,1.02e-10,3.7e-10,1.79e-05,6.95e-06,7.39e-11,2.57e-09
2016-08-17T01:33:28,2016-08-17T01:34:07,2016-08-17T01:33:39,5.27,5.25,1.57,1.55,0.03,0.02,0.02,271.0,0.0,27.0,6.01,0.0682,2.84e-07,0.000358,0.247,0.0128,1.21e-08,3.42e-05,1.5e-05,6.89e-07,1.35e-10,8.97e-10,1.83e-05,6.95e-06,7.9e-11,2.53e-09
2016-08-25T01:02:33,2016-08-25T01:03:22,2016-08-25T01:03:15,5.85,5.75,2.34,1.61,1.11,0.1,0.73,1386.0,0.0,3.0,7.83,0.131,2.35e-07,0.000468,0.512,0.0236,1.28e-08,7.06e-05,0.00547,0.000245,2.79e-10,3.27e-07,0.000202,2.13e-05,8.8e-11,2.78e-08
2016-08-28T19:34:52,2016-08-28T19:35:41,2016-08-28T19:35:23,5.83,5.86,2.19,2.4,0.32,-0.03,0.21,308.0,0.0,0.0,4.99e-05,3.42e-08,8.15e-10,2.97e-09,4.69e-06,2.33e-09,5.5e-10,6.51e-10,3.14e-06,1.59e-08,1.27e-10,1.87e-10,5.76e-07,1.37e-10,7.91e-11,7.98e-11
2016-08-29T21:30:28,2016-08-29T21:31:12,2016-08-29T21:30:41,5.37,5.42,1.29,1.48,0.27,-0.05,0.18,572.0,0.0,39.0,0.995,0.0422,7.36e-07,5.94e-05,0.892,0.0159,3.69e-07,0.000123,4.63e-05,4.46e-06,1.41e-10,2.76e-09,0.000275,1.16e-05,8.14e-11,3.81e-08
2016-08-31T00:28:47,2016-08-31T00:29:41,2016-08-31T00:29:02,5.28,5.15,1.1,1.83,1.0,0.14,0.73,176.0,0.0,0.0,0.723,0.114,3.05e-07,5.79e-05,0.027,0.00339,2.9e-09,5.03e-06,8.95e-06,1.73e-06,1.49e-10,7.18e-10,6.85e-07,5.44e-08,7.95e-11,1.27e-10
2016-12-24T15:12:13,2016-12-24T15:14:46,2016-12-24T15:13:56,3.56,3.62,1.21,1.41,0.21,-0.06,0.2,120.0,0.0,3.0,0.658,0.0637,7.55e-08,5.01e-05,0.00623,0.0012,8.02e-10,1.78e-06,3.59e-05,2.85e-07,1.67e-10,2.73e-09,4.26e-07,3.36e-08,7.22e-11,1.22e-10
2017-05-02T03:16:33,2017-05-02T03:17:26,2017-05-02T03:17:08,5.8,5.73,17.88,17.16,1.08,0.06,0.72,8.0,1008.0,0.0,0.0402,3.98e-05,1.35e-07,2.4e-06,5.11e-06,1.82e-09,5.67e-10,7.08e-10,0.00224,3.06e-06,7.02e-09,1.34e-07,5.74e-07,1.26e-10,7.87e-11,7.95e-11
2017-05-02T10:06:33,2017-05-02T10:07:46,2017-05-02T10:07:18,5.85,5.82,15.93,15.93,0.03,0.03,0.02,295.0,25.0,0.0,0.0347,8.52e-05,8.89e-07,2.07e-06,0.000762,4.06e-05,7.34e-10,1.05e-07,0.000242,8.34e-07,4.9e-09,1.44e-08,4.37e-06,2.7e-07,8.5e-11,6.04e-10
2017-07-01T12:19:31,2017-07-01T12:21:09,2017-07-01T12:20:35,5.62,5.78,15.63,15.99,0.58,-0.16,0.36,300.0,0.0,0.0,0.169,0.000253,5.44e-06,1.01e-05,1.88e-05,4.38e-08,6e-10,2.6e-09,0.00335,3.4e-06,8.52e-08,2e-07,5.86e-07,2.87e-10,7.94e-11,8.12e-11
2017-07-01T18:46:19,2017-07-01T18:48:28,2017-07-01T18:47:40,5.54,5.75,14.27,14.36,0.26,-0.21,0.08,288.0,0.0,11.0,0.0103,0.000451,2.27e-07,6.11e-07,0.00421,0.000255,1.59e-09,5.83e-07,4.02e-05,5.29e-07,3.93e-10,2.4e-09,5.72e-06,2.84e-07,8.23e-11,7.92e-10
2017-07-01T20:21:50,2017-07-01T20:23:09,2017-07-01T20:22:26,5.8,5.64,15.48,15.31,0.28,0.16,0.12,264.0,0.0,107.0,0.131,0.00577,2.71e-07,7.83e-06,0.0334,0.0012,5.76e-09,4.61e-06,0.00034,1.16e-05,1.13e-09,2.03e-08,9.29e-06,2.53e-07,8.79e-11,1.28e-09
2017-07-01T21:55:50,2017-07-01T21:57:15,2017-07-01T21:56:30,5.04,4.91,16.71,16.34,0.48,0.13,0.36,288.0,0.0,0.0,0.0129,7.43e-05,1.34e-07,7.71e-07,0.00927,0.000286,1.52e-09,1.28e-06,0.000204,1.41e-06,7.07e-10,1.22e-08,5.97e-06,1.33e-07,8.04e-11,8.27e-10
2017-07-02T07:20:02,2017-07-02T07:20:31,2017-07-02T07:20:06,4.88,4.96,16.67,17.66,1.29,-0.09,1.0,240.0,472.0,0.0,0.000181,4.12e-06,1.49e-09,1.08e-08,7.27e-06,1.77e-07,6e-10,1.08e-09,2.77e-06,7.21e-08,9.88e-11,1.65e-10,5.19e-07,5.56e-10,7.51e-11,7.68e-11
2017-07-02T15:19:03,2017-07-02T15:20:36,2017-07-02T15:19:27,5.53,4.83,15.61,15.13,0.94,0.7,0.47,360.0,0.0,31.0,0.0193,0.000981,2.39e-07,1.15e-06,0.0277,0.0018,7.23e-10,3.84e-06,2.93e-05,4.77e-07,4.95e-10,1.75e-09,2.79e-06,3.2e-07,7.97e-11,3.86e-10
2017-07-09T02:35:56,2017-07-09T02:37:22,2017-07-09T02:36:44,4.3,4.18,16.98,17.93,1.07,0.12,0.96,200.0,0.0,0.0,0.000181,1.5e-06,2.22e-09,1.1e-08,3.84e-06,5.53e-09,5.78e-10,7.06e-10,2.95e-06,2.65e-08,9.42e-11,1.79e-10,3.91e-07,1.05e-10,7.14e-11,7.19e-11
2017-07-09T12:01:35,2017-07-09T12:04:02,2017-07-09T12:03:04,3.87,3.7,17.09,16.67,0.45,0.16,0.42,152.0,0.0,0.0,0.0109,1.68e-05,1.79e-08,7.66e-07,3.04e-06,1.76e-08,5.86e-10,7.19e-10,0.000112,2e-07,1.5e-10,7.87e-09,3.1e-07,1.97e-10,7.22e-11,7.33e-11
