Start_Date_time,Stop_Date_time,Closest_Date_time,Lrb,Lfb,MLTrb,MLTfb,distmin,dLmin,dMLTmin,EMFb,B1b,B2b,SpecETot_lb,SpecEMax_lb,SpecEMed_lb,SpecEAvg_lb,SpecETot_ub,SpecEMax_ub,SpecEMed_ub,SpecEAvg_ub,SpecBTot_lb,SpecBMax_lb,SpecBMed_lb,SpecBAvg_lb,SpecBTot_ub,SpecBMax_ub,SpecBMed_ub,SpecBAvg_ub
2016-08-29T21:24:28,2016-08-29T21:25:12,2016-08-29T21:24:45,5.31,5.26,1.21,1.46,0.35,0.05,0.25,472.0,0.0,39.0,0.991,0.0422,7.07e-07,5.91e-05,0.87,0.0159,3.08e-07,0.00012,4.62e-05,4.46e-06,1.38e-10,2.76e-09,0.000272,1.16e-05,8.03e-11,3.76e-08
2016-08-31T00:22:47,2016-08-31T00:23:41,2016-08-31T00:23:09,5.21,5.02,1.01,1.83,1.1,0.19,0.81,164.0,0.0,0.0,0.721,0.114,3.67e-07,6.2e-05,0.027,0.00339,3.21e-09,5.39e-06,8.71e-06,1.73e-06,1.47e-10,7.49e-10,6.55e-07,5.44e-08,7.94e-11,1.31e-10
2017-07-01T12:07:56,2017-07-01T12:09:28,2017-07-01T12:08:58,5.75,5.97,15.48,16.09,0.95,-0.22,0.58,288.0,0.0,0.0,0.189,0.000253,5.98e-06,1.13e-05,2.32e-05,4.43e-08,6.01e-10,3.21e-09,0.00353,3.4e-06,8.47e-08,2.11e-07,5.92e-07,2.84e-10,8.04e-11,8.21e-11
2017-07-01T18:34:37,2017-07-01T18:36:52,2017-07-01T18:36:03,5.44,5.71,14.11,14.38,0.45,-0.27,0.27,312.0,0.0,11.0,0.0118,0.000139,2.32e-07,7.04e-07,0.00415,0.000255,1.51e-09,5.75e-07,7.83e-05,5.05e-07,4.28e-10,4.67e-09,5.71e-06,2.84e-07,8.12e-11,7.9e-10
2017-07-01T20:10:18,2017-07-01T20:11:46,2017-07-01T20:11:00,5.82,5.76,15.34,15.22,0.21,0.06,0.16,300.0,0.0,107.0,0.132,0.00577,3.41e-07,7.86e-06,0.0326,0.0012,2.2e-09,4.51e-06,0.000342,1.16e-05,1.31e-09,2.04e-08,9.15e-06,2.53e-07,8.6e-11,1.26e-09
2017-07-01T21:44:33,2017-07-01T21:45:51,2017-07-01T21:45:09,5.19,5.1,16.54,16.25,0.41,0.09,0.32,312.0,0.0,0.0,0.0126,7.43e-05,9.55e-08,7.51e-07,0.0142,0.0012,3.01e-09,1.97e-06,0.000202,1.41e-06,4.91e-10,1.2e-08,7.12e-06,1.65e-07,8.42e-11,9.85e-10
2017-07-02T15:07:25,2017-07-02T15:09:15,2017-07-02T15:08:00,5.63,5.07,15.45,15.1,0.76,0.56,0.35,361.0,0.0,27.0,0.0266,0.000981,2.44e-07,1.58e-06,0.0276,0.0018,6.94e-10,3.82e-06,4.13e-05,1.22e-06,5.03e-10,2.46e-09,2.87e-06,3.2e-07,8.07e-11,3.97e-10
2017-07-09T11:50:25,2017-07-09T11:52:22,2017-07-09T11:51:31,4.16,4.15,16.8,16.69,0.12,0.01,0.1,176.0,0.0,0.0,0.011,1.68e-05,1.44e-08,7.01e-07,4.62e-06,4.47e-08,5.86e-10,9.4e-10,0.000114,2e-07,1.48e-10,7.25e-09,3.66e-07,1.97e-10,7.3e-11,7.44e-11
2017-07-09T16:43:35,2017-07-09T16:46:17,2017-07-09T16:44:57,5.47,5.87,13.66,13.84,0.45,-0.4,0.18,152.0,2189.0,31.0,0.00628,6.13e-05,1.12e-07,3.74e-07,3.73e-05,1.06e-05,6.23e-10,5.16e-09,4.51e-05,5.8e-07,7.34e-10,2.69e-09,7.39e-07,1.14e-07,7.73e-11,1.02e-10
2017-07-09T18:19:25,2017-07-09T18:21:03,2017-07-09T18:20:00,5.82,5.33,14.93,14.61,0.7,0.49,0.37,296.0,7119.0,0.0,0.068,0.000253,8.93e-07,4.05e-06,7.6e-05,1.27e-05,6.49e-10,1.05e-08,0.000979,6.53e-06,5.84e-09,5.83e-08,1.16e-06,2.6e-07,8.18e-11,1.61e-10
