Start_Date_time,Stop_Date_time,Closest_Date_time,Lrb,Lfb,MLTrb,MLTfb,distmin,dLmin,dMLTmin,EMFb,B1b,B2b,SpecETot_lb,SpecEMax_lb,SpecEMed_lb,SpecEAvg_lb,SpecETot_ub,SpecEMax_ub,SpecEMed_ub,SpecEAvg_ub,SpecBTot_lb,SpecBMax_lb,SpecBMed_lb,SpecBAvg_lb,SpecBTot_ub,SpecBMax_ub,SpecBMed_ub,SpecBAvg_ub
2015-06-11T19:26:23,2015-06-11T19:27:17,2015-06-11T19:26:43,5.8,5.57,18.98,19.97,1.49,0.23,0.99,668.0,0.0,0.0,0.013,0.000111,2.25e-08,7.74e-07,0.0047,4.35e-06,9.58e-10,6.52e-07,0.000233,2.07e-06,2.76e-10,1.39e-08,1.25e-06,2.74e-10,1.72e-10,1.73e-10
2015-08-25T07:50:28,2015-08-25T07:51:46,2015-08-25T07:51:20,5.17,5.43,17.43,17.98,0.81,-0.26,0.55,727.0,0.0,0.0,0.00574,4.46e-06,1.44e-08,3.42e-07,2.54e-05,1.64e-08,6.82e-10,3.51e-09,5.59e-06,9.26e-09,1.97e-10,3.33e-10,1.18e-06,2.43e-10,1.62e-10,1.63e-10
2015-11-18T09:51:37,2015-11-18T09:52:56,2015-11-18T09:52:05,5.76,5.97,13.51,13.23,0.49,-0.21,0.28,264.0,0.0,0.0,0.00801,1.46e-05,4.04e-08,4.78e-07,4.21e-05,1.48e-07,1e-09,5.8e-09,0.0003,9.92e-07,2.88e-10,1.79e-08,1.22e-06,2.48e-10,1.67e-10,1.68e-10
2015-12-03T15:43:44,2015-12-03T15:45:03,2015-12-03T15:44:26,5.66,5.74,11.84,11.12,1.07,-0.09,0.69,295.0,0.0,0.0,0.00962,0.000321,2.83e-08,5.73e-07,0.000675,3.17e-06,3.68e-09,9.35e-08,0.000111,2.11e-06,2.35e-10,6.61e-09,1.24e-06,1.65e-09,1.7e-10,1.72e-10
2015-12-12T14:24:44,2015-12-12T14:26:09,2015-12-12T14:25:56,5.48,5.21,11.41,11.81,0.61,0.26,0.49,303.0,0.0,7.0,0.231,0.00715,7.31e-07,1.38e-05,0.146,0.00807,2.81e-07,2.02e-05,0.000658,1.31e-05,1.57e-09,3.93e-08,0.000207,1.48e-05,3.24e-10,2.87e-08
2016-01-14T19:02:56,2016-01-14T19:04:22,2016-01-14T19:03:48,5.18,4.97,9.59,10.46,1.18,0.21,0.88,447.0,0.0,75.0,0.0241,0.00054,5.3e-08,1.44e-06,0.0334,0.000782,8.75e-09,4.61e-06,1.07e-05,3.53e-08,2.09e-10,6.37e-10,1.81e-05,2.48e-06,1.68e-10,2.5e-09
2016-01-20T19:42:47,2016-01-20T19:43:51,2016-01-20T19:43:18,5.76,5.84,10.41,10.42,0.08,-0.08,0.01,289.0,0.0,7.0,1.67,0.0601,1.43e-07,9.98e-05,0.224,0.00248,1.39e-08,3.1e-05,0.0146,0.00077,5.3e-10,8.68e-07,0.000684,1.54e-05,1.83e-10,9.47e-08
2016-01-21T22:42:23,2016-01-21T22:43:17,2016-01-21T22:42:49,5.9,5.87,10.4,10.28,0.18,0.03,0.11,920.0,0.0,190.0,8.95,0.157,3.05e-06,0.000537,0.0138,0.00181,1.2e-08,1.9e-06,0.0229,0.000578,6.89e-09,1.37e-06,3.17e-06,6.46e-08,1.78e-10,4.35e-10
2016-01-22T00:16:57,2016-01-22T00:17:12,2016-01-22T00:17:11,5.57,6.09,11.54,10.55,1.6,-0.52,0.99,209.0,0.0,39.0,3.02,0.0757,2.75e-06,0.000281,0.341,0.0127,6.06e-07,7.35e-05,0.0034,0.000143,4.95e-09,3.16e-07,0.000101,2.62e-06,4.03e-10,2.17e-08
2016-08-13T23:53:56,2016-08-13T23:55:52,2016-08-13T23:54:55,4.55,4.55,1.45,1.47,0.03,-0.0,0.02,372.0,0.0,0.0,0.0594,0.00105,4.8e-08,3.54e-06,0.00556,0.000999,1.43e-09,8.79e-07,1.98e-05,3.94e-08,2.13e-10,1.18e-09,9.89e-07,1.64e-09,1.52e-10,1.56e-10
2016-08-14T00:26:52,2016-08-14T00:27:56,2016-08-14T00:27:19,5.06,5.01,1.98,1.59,0.52,0.05,0.39,384.0,0.0,0.0,0.329,0.0147,4.63e-08,2.69e-05,0.00957,0.000999,5.63e-09,1.82e-06,2.87e-06,1.4e-08,1.94e-10,2.35e-10,8.59e-07,1.64e-09,1.6e-10,1.63e-10
2016-08-14T08:18:50,2016-08-14T08:21:17,2016-08-14T08:19:56,3.93,3.72,0.47,23.95,0.57,0.21,0.52,144.0,0.0,35.0,0.00595,0.000608,2.5e-08,3.99e-07,0.00504,0.000756,6.31e-09,1.14e-06,4.76e-06,2.89e-08,1.79e-10,3.19e-10,2.53e-06,6.05e-08,1.69e-10,5.73e-10
2016-08-21T20:49:13,2016-08-21T20:50:07,2016-08-21T20:49:50,5.35,5.32,2.04,1.99,0.08,0.03,0.05,301.0,0.0,59.0,0.621,0.0125,2.9e-08,3.71e-05,0.15,0.00603,3.79e-09,2.08e-05,0.00274,0.000106,1.94e-10,1.64e-07,0.00033,1.42e-05,1.6e-10,4.57e-08
2016-08-24T20:15:08,2016-08-24T20:16:02,2016-08-24T20:15:52,5.24,5.11,1.78,2.14,0.5,0.13,0.36,396.0,0.0,0.0,1.04,0.0592,2.56e-07,6.2e-05,0.102,0.00562,4.12e-08,1.41e-05,3.49e-05,4.16e-06,2.18e-10,2.08e-09,5.27e-05,2.98e-05,1.62e-10,7.3e-09
2016-08-24T20:46:47,2016-08-24T20:47:36,2016-08-24T20:47:06,5.53,5.3,2.2,1.25,1.37,0.23,0.95,432.0,0.0,0.0,2.95,0.0592,4.36e-06,0.000176,0.702,0.0164,1.32e-06,9.73e-05,0.00187,5.51e-05,2.78e-10,1.11e-07,0.000897,3.06e-05,1.72e-10,1.24e-07
2016-08-28T22:37:44,2016-08-28T22:39:03,2016-08-28T22:38:28,5.16,5.18,1.59,1.81,0.31,-0.02,0.23,703.0,0.0,0.0,0.00142,1.56e-06,2.32e-08,8.48e-08,0.000383,1.6e-06,1.43e-09,5.3e-08,1.2e-05,2.09e-08,2.17e-10,7.15e-10,1.13e-06,2.57e-10,1.54e-10,1.56e-10
2016-08-28T23:11:03,2016-08-28T23:12:07,2016-08-28T23:11:34,5.5,5.43,2.03,1.73,0.44,0.07,0.3,1022.0,0.0,0.0,0.00136,1.56e-06,2.96e-08,8.14e-08,0.000848,1.6e-06,2.23e-09,1.17e-07,2.26e-05,2.47e-08,3.31e-10,1.35e-09,1.15e-06,2.57e-10,1.59e-10,1.6e-10
2016-08-30T01:34:18,2016-08-30T01:35:22,2016-08-30T01:35:05,5.34,5.38,1.61,1.72,0.16,-0.05,0.11,404.0,2959.0,0.0,1.84,0.0886,9.02e-08,0.00011,0.00443,0.000233,5.57e-09,6.13e-07,0.00192,5.74e-05,2.51e-10,1.14e-07,1.4e-06,3.06e-08,1.6e-10,1.94e-10
