startTime,endTime,meanL,meanMLT,minMLT,minD [km]
2015-06-12 22:32:47.755100,2015-06-12 22:33:07.346940,6.412091842583438,19.405082342761435,0.2935299753198066,615.9927041747704
2016-01-20 19:47:02.448980,2016-01-20 19:47:26.938780,5.90926766658546,10.406300184888918,0.05286727125141688,13.470944220361122
2016-01-21 22:46:33.061220,2016-01-21 22:46:57.551020,5.98154388278364,10.290091318891958,0.1539312771287893,132.51940785756446
2016-08-16 23:26:18.367360,2016-08-16 23:27:07.346940,4.84307262027625,1.539122050176596,0.2831610220603764,nan
2016-08-16 23:58:52.653060,2016-08-16 23:59:12.244900,5.477948295865447,1.626253375220248,0.17970146756525018,793.4401748430464
2016-08-28 22:43:42.857140,2016-08-28 22:44:22.040820,5.454955885358243,1.8011747804050806,0.12806525515979494,nan
2016-12-24 15:13:08.571440,2016-12-24 15:14:17.142860,3.561523612593885,1.4550778231460129,0.35838829852860954,65.44299029112251
2017-05-02 03:16:47.755100,2017-05-02 03:17:12.244900,5.828134437783225,17.163709995215992,0.24427504817524692,nan
2017-07-01 07:33:28.163260,2017-07-01 07:34:02.448980,4.875308966843777,17.605874118890796,0.3816083936997714,380.9274268075086
2017-07-02 10:29:23.265300,2017-07-02 10:30:02.448980,4.8061944997262165,16.877622352422144,0.22704263865330532,464.20433912904923
2017-07-09 18:31:47.755100,2017-07-09 18:32:07.346940,5.7971956006912855,14.340200222688928,0.5598905303725878,nan
2017-07-11 09:59:18.367360,2017-07-11 10:00:17.142860,3.811051541774728,17.248298638204027,0.378418526347982,nan
2017-07-16 23:13:57.551020,2017-07-16 23:14:26.938780,5.390436307603289,16.979283176934615,0.34590742053050505,nan
2017-07-17 15:02:47.755100,2017-07-17 15:03:26.938780,5.933382720408924,15.099491809418911,0.43263646905126407,nan
2017-07-22 20:17:42.857140,2017-07-22 20:18:02.448980,5.922351782463466,15.250985727898822,0.46258631604847444,nan
2017-07-22 21:51:52.653060,2017-07-22 21:52:22.040820,5.690823306560701,16.232628007920205,0.3161009719455965,nan
2017-11-21 20:01:33.061220,2017-11-21 20:02:31.836740,6.057167322564915,10.76031431237582,0.14211573052865845,425.82654517273033
2017-11-22 10:49:47.755100,2017-11-22 10:50:17.142860,4.549737125786024,7.988863030288732,0.4909695481572989,112.4113767855395
2017-11-22 13:22:47.755100,2017-11-22 13:23:26.938780,6.342052855692959,10.548457610744126,0.13486819036771003,10.87415630297581
2017-11-24 00:21:47.755100,2017-11-24 00:22:22.040820,5.487322795737378,9.108554696612789,0.4273433665485502,503.97992960332954
2017-11-28 11:55:33.061220,2017-11-28 11:56:12.244900,6.13826616989513,9.8014361237523,0.24440698669459948,225.03676904903597
2017-12-04 21:38:13.469380,2017-12-04 21:38:57.551020,5.72752512446901,10.102486676432497,0.13969758197761095,153.45600008957868
2017-12-05 16:32:28.163260,2017-12-05 16:33:07.346940,5.848376389460902,11.705038246014524,0.42053612344064106,427.81974255269256
2017-12-07 01:55:57.551020,2017-12-07 01:56:31.836740,5.608792490237932,8.890468482197463,0.3587559689519537,660.9270830259526
2017-12-11 03:03:33.061220,2017-12-11 03:04:22.040820,4.802520463578578,7.7139805768106235,0.3478118171224036,nan
2017-12-13 20:59:52.653060,2017-12-13 21:00:51.428560,5.540440259584338,10.418880731173257,0.15824581534558746,429.65957109116255
2018-02-26 18:46:47.755100,2018-02-26 18:47:26.938780,5.847218913809895,6.458735600454914,0.005046963782032066,192.6755891008621
2018-03-03 09:34:13.469380,2018-03-03 09:35:17.142860,3.7943561387501727,9.353967315111936,0.047374762241659596,352.28088209028795
2018-03-12 16:47:52.653060,2018-03-12 16:48:07.346940,4.459563641336096,7.750397217313569,0.573082461632545,390.29524137691465
2018-03-13 18:10:18.367340,2018-03-13 18:10:57.551020,5.687664798723642,6.957337965990913,0.0009239689534297213,119.88660363187599
2018-03-17 20:21:28.163260,2018-03-17 20:22:02.448980,5.9827700971891105,6.7534486372160165,0.11222300761180559,309.57658789238417
2018-03-19 00:50:47.755100,2018-03-19 00:51:22.040820,5.049118867830669,8.025793080178156,0.11734956599609614,210.56125052162335
2018-03-26 03:47:56.326520,2018-03-26 03:49:09.795920,3.596392797623498,9.064681364784104,0.075478202935372,258.2909155833045
2018-04-20 21:13:02.448980,2018-04-20 21:14:03.673480,3.960094070708424,8.08646102810396,0.033474263665022264,nan
2018-04-23 20:27:57.551020,2018-04-23 20:28:22.040820,4.498797495731742,7.947979940042043,0.49737449630239716,nan
2018-08-04 04:12:13.469380,2018-08-04 04:13:22.040820,3.955346180430709,22.26508676971071,0.01436455282557958,512.6554073574698
2018-08-06 10:59:52.653060,2018-08-06 11:00:17.142860,5.369429283080613,23.36256468401721,0.012815750537683357,nan
2018-08-08 07:53:57.551020,2018-08-08 07:54:22.040820,5.56720573460529,23.246216660654547,0.23595083123577965,500.7390659878679
2018-08-09 03:53:52.653060,2018-08-09 03:54:12.244900,6.332160263157461,1.4135086477113603,0.3261661199371666,nan
2018-08-09 10:13:42.857140,2018-08-09 10:14:12.244900,5.0124042572599325,23.42401279765261,0.49356516478494683,nan
2018-08-11 07:07:23.265300,2018-08-11 07:07:57.551020,5.130894779824354,23.130478787577886,0.07397063224307132,753.6883772022026
2018-08-11 19:09:52.653060,2018-08-11 19:10:17.142860,6.151226706843433,1.6259791374177137,0.11966640997382783,nan
2018-08-13 20:46:44.081640,2018-08-13 20:48:22.040820,3.7913952117683483,22.07407950134225,0.3306843281366021,49.04234578493284
