Time,Lat,Lon,Alt,McIlwainL,MLT,kp,counts_s_0,counts_s_1,counts_s_2,counts_s_3,counts_s_4,counts_s_5,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,time_gap,saturated,n_zeros
2015-02-01 20:35:10.783500,73.24041207090286,173.08306284193532,637.1597198597283,11.072945327717862,6.292536473376879,43.0,7786.666666666667,4533.333333333334,3146.666666666667,693.3333333333334,160.0,106.66666666666667,11.369553189855218,7.38896659196781,9.100774722900095,1.6666666666666667,0.6298897789321865,1.2247448713915892,0,0,33
2015-02-01 20:35:13.596000,73.09657630869809,172.7483946884222,637.4176042093457,10.839291890867509,6.287789076001555,43.0,7146.666666666667,4213.333333333334,1653.3333333333335,373.33333333333337,480.0,53.333333333333336,11.059405027416238,6.9895696620228085,3.249711651033535,0.18257418583505536,3.993726823848225,0.6054055145966811,0,0,0
2015-02-01 22:11:54.148750,70.28700788803337,143.35820586275986,642.4636410430315,7.099322477902702,6.615309098550933,50.0,31626.666666666668,19306.666666666668,4640.0,746.6666666666667,106.66666666666667,0.0,18.575772557910355,16.935597598421797,6.916211316224341,2.6348259320698384,0.8868008299204657,-0.1432229748078866,1,0,0
2015-02-01 22:11:54.205000,70.28457766386202,143.35420989982504,642.4674845813224,7.0976018507753675,6.615194074614012,50.0,28853.333333333336,17706.666666666668,5653.333333333334,1013.3333333333334,106.66666666666667,0.0,12.899353072269955,12.51462668038797,8.596934124412012,4.242640687119285,0.7414672991144711,-0.10925355610938446,1,0,0
2015-02-01 22:11:54.280000,70.2805274826951,143.34755255279742,642.4738893852431,7.094736524473241,6.615002423979746,50.0,28853.333333333336,17120.0,5280.0,906.6666666666667,106.66666666666667,0.0,11.282129685790744,10.708449406614008,7.030364440582257,3.2790924891572595,0.5765566601970552,-0.1432229748078866,1,0,0
2015-02-01 22:12:10.705000,69.38864087975986,141.94685962012227,643.8609236828714,6.481399343989706,6.578469449152662,50.0,30506.666666666668,20746.666666666668,7680.0,2400.0,160.0,53.333333333333336,12.031275493645342,11.12659620590756,6.4235750431788405,4.210932733515436,-0.4472135954999579,0.23652495839563306,0,0,0
2015-02-01 22:12:18.242500,68.97589933560376,141.33971536157605,644.4875463609618,6.224696567526973,6.562580566330539,50.0,34666.66666666667,33013.333333333336,17280.0,6240.0,1440.0,373.33333333333337,10.059030316541,11.27626733668774,7.182195233926197,4.339400890617138,2.8953694074859455,2.08802847427133,0,0,4
2015-02-01 22:12:18.298750,68.97260937454509,141.33497360693127,644.4925034345847,6.222785174031305,6.562438745040307,50.0,32693.333333333336,37120.0,23840.0,8426.666666666668,1760.0,213.33333333333334,11.395386072933501,18.36108587323587,17.914437045739515,10.51041206504983,5.1040855255069,0.7524429471734277,0,0,4
2015-02-01 22:12:18.598750,68.9561600764603,141.31128826923214,644.5172791653106,6.2132377365641815,6.561730147011696,50.0,31626.666666666668,24480.0,10826.666666666668,4746.666666666667,1013.3333333333334,426.6666666666667,11.245050236874217,8.778841734259755,3.6630692158677878,4.377528281638148,2.009707326683052,3.169495442095802,0,0,4
2015-02-01 22:12:18.655000,68.95369238263596,141.30773829848022,644.5209947003199,6.211806165891774,6.5616239143172415,50.0,35360.0,30026.666666666668,14720.0,6400.0,1013.3333333333334,106.66666666666667,11.464478696394925,11.532936193852562,7.490528982241513,7.131951028502902,1.4805748936245768,-0.32364535762509394,0,0,4
2015-02-01 22:12:28.900000,68.39027183248648,140.51884615543167,645.3607112593453,5.888258985444208,6.54054173278645,50.0,18666.666666666668,7946.666666666667,2720.0,480.0,160.0,53.333333333333336,15.041708858500018,6.912684545842411,3.3333940615250857,-0.1543033499620919,0.4520573913550983,0.4453993340830444,0,0,0
2015-02-02 04:35:42.842500,68.13886116703492,44.44190188292123,646.9618293210075,6.584141621676626,8.435335094837093,47.0,34400.0,38133.333333333336,23253.333333333336,9706.666666666668,2026.6666666666667,533.3333333333334,13.690837308118354,16.551876730045766,12.535074757397888,8.343615451554488,3.8564327530238773,3.32485984868665,1,0,0
2015-02-02 04:35:43.086250,68.12559547130225,44.42426158874696,646.9808986393399,6.577259666088455,8.434120207273292,47.0,34080.0,28533.333333333336,14133.333333333334,6133.333333333334,1546.6666666666667,0.0,12.64895716836853,10.293672516954553,5.726037316651208,5.221019877504716,3.5277210849940652,-1.3096609311335499,1,0,5
2015-02-02 04:35:43.123750,68.12310793671575,44.420956144958836,646.9844734229796,6.575976403855827,8.43383686699606,47.0,34666.66666666667,31200.0,17546.666666666668,5653.333333333334,1813.3333333333335,106.66666666666667,13.375343101917753,14.057102630510464,11.574880102003437,5.028154944791807,5.098177086530322,-0.1076327122274045,1,0,6
2015-02-02 04:35:45.373750,67.99866071607217,44.25654985145593,647.1629019025413,6.508905183460684,8.42030936127696,47.0,36586.66666666667,31520.0,16480.0,6666.666666666667,800.0,106.66666666666667,13.495263727213064,11.590673068396804,8.082683358195291,5.960635336334958,-0.10439797473344653,-0.1076327122274045,1,1,7
2015-02-02 04:35:45.748750,67.97790556907557,44.22931190935742,647.1925816060191,6.498342436197308,8.417964460739627,47.0,33760.0,26400.0,15946.666666666668,5493.333333333334,960.0,160.0,14.930378376800531,11.66368102962116,11.587844279598837,5.810208553600297,1.6249034745490651,0.8561726894780893,1,0,7
